Date,Day_of_Week,Daily_Revenue,Covers
10/1/2015,Thursday,10716.3,251
10/2/2015,Friday,20773.22,488
10/3/2015,Saturday,21689.53,509
10/4/2015,Sunday,9740.64,228
10/5/2015,Monday,4708.58,110
10/6/2015,Tuesday,6256.24,147
10/7/2015,Wednesday,8827.59,207
10/8/2015,Thursday,12155.12,285
10/9/2015,Friday,21812.76,512
10/10/2015,Saturday,19957.09,469
10/11/2015,Sunday,8062.77,189
10/12/2015,Monday,4758.35,111
10/13/2015,Tuesday,7336.94,172
10/14/2015,Wednesday,9786.52,230
10/15/2015,Thursday,12784.57,300
10/16/2015,Friday,21647.98,508
10/17/2015,Saturday,22910.34,538
10/18/2015,Sunday,9186.85,215
10/19/2015,Monday,4616.33,108
10/20/2015,Tuesday,6603.59,155
10/21/2015,Wednesday,9797.82,230
10/22/2015,Thursday,10662.68,250
10/23/2015,Friday,22841.34,536
10/24/2015,Saturday,23018.05,540
10/25/2015,Sunday,8282.55,194
10/26/2015,Monday,4714.78,110
10/27/2015,Tuesday,7311.16,171
10/28/2015,Wednesday,9976.67,234
10/29/2015,Thursday,11376.31,267
10/30/2015,Friday,19420.74,456
10/31/2015,Saturday,19479.07,457
11/1/2015,Sunday,9120.91,214
11/2/2015,Monday,4662.55,109
11/3/2015,Tuesday,7475.35,175
11/4/2015,Wednesday,10841.8,254
11/5/2015,Thursday,12599.73,296
11/6/2015,Friday,24265.45,570
11/7/2015,Saturday,20052.06,471
11/8/2015,Sunday,10338.52,242
11/9/2015,Monday,5481.8,128
11/10/2015,Tuesday,7075.08,166
11/11/2015,Wednesday,10123.53,237
11/12/2015,Thursday,13913.42,326
11/13/2015,Friday,23685.8,556
11/14/2015,Saturday,23972.74,563
11/15/2015,Sunday,9926.66,233
11/16/2015,Monday,4974.69,116
11/17/2015,Tuesday,7364.98,173
11/18/2015,Wednesday,9673.32,227
11/19/2015,Thursday,14045.04,330
11/20/2015,Friday,23628.54,555
11/21/2015,Saturday,23165.62,544
11/22/2015,Sunday,10244.61,240
11/23/2015,Monday,5596.95,131
11/24/2015,Tuesday,8250.93,193
11/25/2015,Wednesday,9413.94,221
11/26/2015,Thursday,0,0
11/27/2015,Friday,21083.69,495
11/28/2015,Saturday,20373.78,478
11/29/2015,Sunday,8854.44,208
11/30/2015,Monday,4839.89,113
12/1/2015,Tuesday,7823.33,183
12/2/2015,Wednesday,12617.13,296
12/3/2015,Thursday,15342.52,360
12/4/2015,Friday,24390.21,573
12/5/2015,Saturday,22484.2,528
12/6/2015,Sunday,9437.08,221
12/7/2015,Monday,6225.42,146
12/8/2015,Tuesday,7691.3,180
12/9/2015,Wednesday,12484.97,293
12/10/2015,Thursday,13596.86,319
12/11/2015,Friday,23977.11,563
12/12/2015,Saturday,26988.48,634
12/13/2015,Sunday,9411.18,221
12/14/2015,Monday,5489.76,129
12/15/2015,Tuesday,7251.58,170
12/16/2015,Wednesday,11037.91,259
12/17/2015,Thursday,15202.52,357
12/18/2015,Friday,27072.53,636
12/19/2015,Saturday,26935.42,633
12/20/2015,Sunday,9915.66,233
12/21/2015,Monday,1770.27,41
12/22/2015,Tuesday,2536.347,59
12/23/2015,Wednesday,2460.182,57
12/24/2015,Thursday,0,0
12/25/2015,Friday,0,0
12/26/2015,Saturday,6704.502,157
12/27/2015,Sunday,4684.075,110
12/28/2015,Monday,3484.896,81
12/29/2015,Tuesday,4953.912,116
12/30/2015,Wednesday,8286.544,194
12/31/2015,Thursday,0,0
1/1/2016,Friday,0,0
1/2/2016,Saturday,3116.35,73
1/3/2016,Sunday,2270.104,53
1/4/2016,Monday,3386.06,79
1/5/2016,Tuesday,5064.42,119
1/6/2016,Wednesday,6399.9,150
1/7/2016,Thursday,8647.66,203
